state,party,last_name,user_screen_name,name,gender,state_abbrev,icpsr,born
Alabama,D,sewell,RepTerriSewell,Terri A. Sewell,female,AL,21102,1965
Alabama,R,aderholt,Robert_Aderholt,Robert B. Aderholt,male,AL,29701,1965
Alabama,R,brooks,RepMoBrooks,Mo Brooks,male,AL,21193,1954
Alabama,R,byrne,BradleyByrne,Bradley Byrne,male,AL,21376,1955
Alabama,R,byrne,RepByrne,Bradley Byrne,male,AL,21376,1955
Alabama,R,palmer,USRepGaryPalmer,Gary J. Palmer,male,AL,21500,1954
Alabama,R,roby,MarthaRobyAL,Martha Roby,female,AL,21192,1976
Alabama,R,rogers,RepMikeRogersAL,Mike Rogers,male,AL,20301,1958
Alaska,R,young,repdonyoung,Don Young,male,AK,14066,1933
Arizona,D,gallego,RepRubenGallego,Ruben Gallego,male,AZ,21502,1979
Arizona,D,gallego,RubenGallego,Ruben Gallego,male,AZ,21502,1979
Arizona,D,grijalva,RepRaulGrijalva,Raull M. Grijalva,male,AZ,20305,1948
Arizona,D,kirkpatrick,RepKirkpatrick,Ann Kirkpatrick,female,AZ,20902,1950
Arizona,D,kirkpatrick,Ann_Kirkpatrick,Ann Kirkpatrick,female,AZ,20902,1950
Arizona,D,o'halleran,TomOHalleran,Tom O'Halleran,male,AZ,21739,1946
Arizona,D,o'halleran,RepOHalleran,Tom O'Halleran,male,AZ,21739,1946
Arizona,D,stanton,gregstantonaz,Greg Stanton,male,AZ,21968,1970
Arizona,D,stanton,RepGregStanton,Greg Stanton,male,AZ,21968,1970
Arizona,R,biggs,andybiggs4az,Andy Biggs,male,AZ,21705,1958
Arizona,R,biggs,RepAndyBiggsAZ,Andy Biggs,male,AZ,21705,1958
Arizona,R,gosar,RepGosar,Paul A. Gosar,male,AZ,21103,1958
Arizona,R,gosar,DrPaulGosar,Paul A. Gosar,male,AZ,21103,1958
Arizona,R,lesko,DebbieLesko,Debbie Lesko,female,AZ,21757,1958
Arizona,R,lesko,RepDLesko,Debbie Lesko,female,AZ,21757,1958
Arizona,R,schweikert,RepDavid,David Schweikert,male,AZ,21105,1962
Arkansas,R,crawford,RepRickCrawford,"Eric A. ""Rick"" Crawford",male,AR,21106,1966
Arkansas,R,hill,RepFrenchHill,J. French Hill,male,AR,21503,1956
Arkansas,R,westerman,RepWesterman,Bruce Westerman,male,AR,21563,1967
Arkansas,R,womack,rep_stevewomack,Steve Womack,male,AR,21108,1957
California,D,aguilar,RepPeteAguilar,Pete Aguilar,male,CA,21506,1979
California,D,barragan,Nanette4CA,Nanette Diaz Barragan,female,CA,21703,1976
California,D,barragan,RepBarragan,Nanette Diaz Barragan,female,CA,21703,1976
California,D,bass,KarenBassLA,Karen Bass,female,CA,21110,1953
California,D,bass,RepKarenBass,Karen Bass,female,CA,21110,1953
California,D,bera,RepBera,Ami Bera,male,CA,21304,1965
California,D,bera,BeraForCongress,Ami Bera,male,CA,21304,1965
California,D,brownley,RepBrownley,Julia Brownley,female,CA,21308,1952
California,D,brownley,JuliaBrownley,Julia Brownley,female,CA,21308,1952
California,D,carbajal,RepCarbajal,Salud O. Carbajal,male,CA,21709,1964
California,D,cardenas,Tcardenas,Tony Cardenas,male,CA,21309,1963
California,D,cardenas,RepCardenas,Tony Cardenas,male,CA,21309,1963
California,D,chu,RepJudyChu,Judy Chu,female,CA,20955,1953
California,D,cisneros,RepGilCisneros,"Gilbert Ray Cisneros, Jr.",male,CA,21907,1971
California,D,cisneros,CisnerosFndn,"Gilbert Ray Cisneros, Jr.",male,CA,21907,1971
California,D,correa,RepLouCorrea,J. Luis Correa,male,CA,21711,1958
California,D,costa,RepJimCosta,Jim Costa,male,CA,20501,1952
California,D,cox,TJCoxCongress,TJ Cox,male,CA,21909,1963
California,D,cox,RepTjCox,TJ Cox,male,CA,21909,1963
California,D,desaulnier,RepDeSaulnier,Mark DeSaulnier,male,CA,21504,1952
California,D,eshoo,RepAnnaEshoo,Anna G. Eshoo,female,CA,29312,1942
California,D,garamendi,RepGaramendi,John Garamendi,male,CA,20958,1945
California,D,gomez,JimmyGomezCA,Jimmy Gomez,male,CA,21754,1974
California,D,gomez,RepJimmyGomez,Jimmy Gomez,male,CA,21754,1974
California,D,harder,JoshHarder,Josh Harder,male,CA,21930,1986
California,D,harder,RepJoshHarder,Josh Harder,male,CA,21930,1986
California,D,hill,RepKatieHill,Katie Hill,female,CA,21932,1987
California,D,hill,KatieHill4CA,Katie Hill,female,CA,21932,1987
California,D,huffman,RepHuffman,Jared Huffman,male,CA,21303,1964
California,D,huffman,JaredHuffman,Jared Huffman,male,CA,21303,1964
California,D,khanna,RepRoKhanna,Ro Khanna,male,CA,21728,1976
California,D,khanna,RoKhanna,Ro Khanna,male,CA,21728,1976
California,D,lee,RepBarbaraLee,Barbara Lee,female,CA,29778,1946
California,D,lee,BLeeForCongress,Barbara Lee,female,CA,29778,1946
California,D,levin,RepMikeLevin,Mike Levin,male,CA,21939,1978
California,D,levin,MikeLevin,Mike Levin,male,CA,21939,1978
California,D,lieu,tedlieu,Ted Lieu,male,CA,21507,1969
California,D,lieu,RepTedLieu,Ted Lieu,male,CA,21507,1969
California,D,lofgren,RepZoeLofgren,Zoe Lofgren,female,CA,29504,1947
California,D,lowenthal,RepLowenthal,Alan S. Lowenthal,male,CA,21313,1941
California,D,matsui,DorisMatsui,Doris O. Matsui,female,CA,20538,1944
California,D,mcnerney,jerrymcnerney,Jerry McNerney,male,CA,20702,1951
California,D,mcnerney,RepMcNerney,Jerry McNerney,male,CA,20702,1951
California,D,napolitano,gracenapolitano,Grace F. Napolitano,female,CA,29903,1936
California,D,panetta,RepJimmyPanetta,Jimmy Panetta,male,CA,21740,1969
California,D,panetta,JimmyPanetta,Jimmy Panetta,male,CA,21740,1969
California,D,pelosi,SpeakerPelosi,Nancy Pelosi,female,CA,15448,1940
California,D,pelosi,TeamPelosi,Nancy Pelosi,female,CA,15448,1940
California,D,peters,RepScottPeters,Scott H. Peters,male,CA,21315,1958
California,D,peters,ScottPetersSD,Scott H. Peters,male,CA,21315,1958
California,D,porter,RepKatiePorter,Katie Porter,female,CA,21954,1974
California,D,porter,katieporteroc,Katie Porter,female,CA,21954,1974
California,D,rouda,RepHarley,Harley Rouda,male,CA,21960,1961
California,D,rouda,HarleyRouda,Harley Rouda,male,CA,21960,1961
California,D,roybal-allard,RepRoybalAllard,Lucille Roybal-Allard,female,CA,29317,1941
California,D,ruiz,RepRaulRuizMD,Raul Ruiz,male,CA,21311,1972
California,D,ruiz,Dr_RaulRuiz,Raul Ruiz,male,CA,21311,1972
California,D,sanchez,LindaTSanchez,Linda T. Sanchez,female,CA,20310,1969
California,D,sanchez,RepLindaSanchez,Linda T. Sanchez,female,CA,20310,1969
California,D,schiff,AdamSchiff,Adam B. Schiff,male,CA,20104,1960
California,D,schiff,RepAdamSchiff,Adam B. Schiff,male,CA,20104,1960
California,D,sherman,BradSherman,Brad Sherman,male,CA,29707,1954
California,D,speier,RepSpeier,Jackie Speier,female,CA,20762,1950
California,D,speier,JackieSpeier,Jackie Speier,female,CA,20762,1950
California,D,swalwell,ericswalwell,Eric Swalwell,male,CA,21306,1980
California,D,swalwell,RepSwalwell,Eric Swalwell,male,CA,21306,1980
California,D,takano,RepMarkTakano,Mark Takano,male,CA,21312,1960
California,D,takano,MarkTakano,Mark Takano,male,CA,21312,1960
California,D,thompson,RepThompson,Mike Thompson,male,CA,29901,1951
California,D,torres,Norma4Congress,Norma J. Torres,female,CA,21508,1965
California,D,torres,NormaJTorres,Norma J. Torres,female,CA,21508,1965
California,D,vargas,RepJuanVargas,Juan Vargas,male,CA,21314,1961
California,D,waters,RepMaxineWaters,Maxine Waters,female,CA,29106,1938
California,R,calvert,TeamCalvert,Ken Calvert,male,CA,29323,1953
California,R,calvert,KenCalvert,Ken Calvert,male,CA,29323,1953
California,R,cook,ColPaulCookRet,Paul Cook,male,CA,21305,1943
California,R,hunter,Duncan4Congress,Duncan Hunter,male,CA,20963,1976
California,R,lamalfa,RepLaMalfa,Doug LaMalfa,male,CA,21302,1960
California,R,mccarthy,GOPLeader,Kevin McCarthy,male,CA,20703,1965
California,R,mccarthy,kevinomccarthy,Kevin McCarthy,male,CA,20703,1965
California,R,mcclintock,RepMcClintock,Tom McClintock,male,CA,20903,1956
California,R,nunes,DevinNunes,Devin Nunes,male,CA,20307,1973
California,R,nunes,RepDevinNunes,Devin Nunes,male,CA,20307,1973
Colorado,D,crow,RepJasonCrow,Jason Crow,male,CO,21912,1979
Colorado,D,crow,JasonCrowCO,Jason Crow,male,CO,21912,1979
Colorado,D,degette,DeGette5280,Diana DeGette,female,CO,29710,1957
Colorado,D,degette,RepDianaDeGette,Diana DeGette,female,CO,29710,1957
Colorado,D,neguse,JoeNeguse,Joe Neguse,male,CO,21948,1984
Colorado,D,neguse,RepJoeNeguse,Joe Neguse,male,CO,21948,1984
Colorado,D,perlmutter,RepPerlmutter,Ed Perlmutter,male,CO,20705,1953
Colorado,D,perlmutter,Ed4Colorado,Ed Perlmutter,male,CO,20705,1953
Colorado,R,buck,RepKenBuck,Ken Buck,male,CO,21510,1959
Colorado,R,lamborn,RepDLamborn,Doug Lamborn,male,CO,20704,1954
Colorado,R,tipton,RepTipton,Scott R. Tipton,male,CO,21111,1956
Connecticut,D,courtney,RepJoeCourtney,Joe Courtney,male,CT,20706,1953
Connecticut,D,delauro,Rosa_DeLauro,Rosa L. DeLauro,female,CT,29109,1943
Connecticut,D,delauro,rosadelauro,Rosa L. DeLauro,female,CT,29109,1943
Connecticut,D,hayes,RepJahanaHayes,Jahana Hayes,female,CT,21931,1973
Connecticut,D,hayes,JahanaHayesCT,Jahana Hayes,female,CT,21931,1973
Connecticut,D,himes,jahimes,James A. Himes,male,CT,20907,1966
Connecticut,D,larson,JohnLarsonCT,John B. Larson,male,CT,29908,1948
